"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 22:38:43 EET 2022","Wed Nov 30 22:38:56 EET 2022","12379","webkit","testCase4.spec.js","","","","ID 4 To test focus in Search input after a click",""
"passed","Wed Nov 30 22:38:02 EET 2022","Wed Nov 30 22:38:14 EET 2022","12152","firefox","testCase5.spec.js","","","","ID 5 To test the price of a book when ""Read for free"" button is pressed",""
"passed","Wed Nov 30 22:37:20 EET 2022","Wed Nov 30 22:37:28 EET 2022","7445","chromium","testCase5.spec.js","","","","ID 5 To test the price of a book when ""Read for free"" button is pressed",""
"passed","Wed Nov 30 22:37:52 EET 2022","Wed Nov 30 22:38:06 EET 2022","13761","firefox","testCase3.spec.js","","","","ID 3 To check created reports on  Page Summary",""
"passed","Wed Nov 30 22:37:30 EET 2022","Wed Nov 30 22:37:56 EET 2022","26214","firefox","testCase2.spec.js","","","","ID 2 To test the negative ""Search"" input scenario ",""
"passed","Wed Nov 30 22:36:44 EET 2022","Wed Nov 30 22:37:10 EET 2022","25364","chromium","testCase2.spec.js","","","","ID 2 To test the negative ""Search"" input scenario ",""
"passed","Wed Nov 30 22:37:30 EET 2022","Wed Nov 30 22:37:52 EET 2022","22448","firefox","testCase1.spec.js","","","","ID 1 To test Sign in with valid but not registered email address.",""
"passed","Wed Nov 30 22:37:01 EET 2022","Wed Nov 30 22:37:28 EET 2022","27194","chromium","testCase3.spec.js","","","","ID 3 To check created reports on  Page Summary",""
"passed","Wed Nov 30 22:38:18 EET 2022","Wed Nov 30 22:38:43 EET 2022","25116","webkit","testCase2.spec.js","","","","ID 2 To test the negative ""Search"" input scenario ",""
"passed","Wed Nov 30 22:38:09 EET 2022","Wed Nov 30 22:38:34 EET 2022","25122","webkit","testCase1.spec.js","","","","ID 1 To test Sign in with valid but not registered email address.",""
"passed","Wed Nov 30 22:37:56 EET 2022","Wed Nov 30 22:38:02 EET 2022","5967","firefox","testCase4.spec.js","","","","ID 4 To test focus in Search input after a click",""
"passed","Wed Nov 30 22:38:34 EET 2022","Wed Nov 30 22:38:54 EET 2022","19467","webkit","testCase3.spec.js","","","","ID 3 To check created reports on  Page Summary",""
"passed","Wed Nov 30 22:36:44 EET 2022","Wed Nov 30 22:37:01 EET 2022","16244","chromium","testCase1.spec.js","","","","ID 1 To test Sign in with valid but not registered email address.",""
"passed","Wed Nov 30 22:37:10 EET 2022","Wed Nov 30 22:37:20 EET 2022","10433","chromium","testCase4.spec.js","","","","ID 4 To test focus in Search input after a click",""
"passed","Wed Nov 30 22:38:54 EET 2022","Wed Nov 30 22:39:30 EET 2022","36313","webkit","testCase5.spec.js","","","","ID 5 To test the price of a book when ""Read for free"" button is pressed",""
